PSMSL Site,PSMSL ID,NOAA ID,NOAA Name,RSL GridNum,Lat,Long,Regional Classification,US Coastline Intersect (1 = yes),Scenario,RSL contribution from VLM (trend: cm/year),Offset 1992 to 2000 (cm),Offset 2000 to 2005 (cm),RSL_Scenario_Year,RSL_Value_cm
MOKUOLOE_ISLAND,823,1612480,Mokuoloe,39622,21.433056,-157.79,Hawaiian Islands,1,0.3 - MED,0.009,2,2,RSL2005 (cm),0
MOKUOLOE_ISLAND,823,1612480,Mokuoloe,39622,21.433056,-157.79,Hawaiian Islands,1,0.3 - LOW,0.009,2,2,RSL2005 (cm),0
MOKUOLOE_ISLAND,823,1612480,Mokuoloe,39622,21.433056,-157.79,Hawaiian Islands,1,0.3 - HIGH,0.009,2,2,RSL2005 (cm),0
MOKUOLOE_ISLAND,823,1612480,Mokuoloe,39622,21.433056,-157.79,Hawaiian Islands,1,0.5 - MED,0.009,2,2,RSL2005 (cm),0
MOKUOLOE_ISLAND,823,1612480,Mokuoloe,39622,21.433056,-157.79,Hawaiian Islands,1,0.5 - LOW,0.009,2,2,RSL2005 (cm),0
MOKUOLOE_ISLAND,823,1612480,Mokuoloe,39622,21.433056,-157.79,Hawaiian Islands,1,0.5 - HIGH,0.009,2,2,RSL2005 (cm),0
MOKUOLOE_ISLAND,823,1612480,Mokuoloe,39622,21.433056,-157.79,Hawaiian Islands,1,1.0 - MED,0.009,2,2,RSL2005 (cm),0
MOKUOLOE_ISLAND,823,1612480,Mokuoloe,39622,21.433056,-157.79,Hawaiian Islands,1,1.0 - LOW,0.009,2,2,RSL2005 (cm),0
MOKUOLOE_ISLAND,823,1612480,Mokuoloe,39622,21.433056,-157.79,Hawaiian Islands,1,1.0 - HIGH,0.009,2,2,RSL2005 (cm),0
MOKUOLOE_ISLAND,823,1612480,Mokuoloe,39622,21.433056,-157.79,Hawaiian Islands,1,1.5 - MED,0.009,2,2,RSL2005 (cm),0
MOKUOLOE_ISLAND,823,1612480,Mokuoloe,39622,21.433056,-157.79,Hawaiian Islands,1,1.5 - LOW,0.009,2,2,RSL2005 (cm),0
MOKUOLOE_ISLAND,823,1612480,Mokuoloe,39622,21.433056,-157.79,Hawaiian Islands,1,1.5 - HIGH,0.009,2,2,RSL2005 (cm),0
MOKUOLOE_ISLAND,823,1612480,Mokuoloe,39622,21.433056,-157.79,Hawaiian Islands,1,2.0 - MED,0.009,2,2,RSL2005 (cm),0
MOKUOLOE_ISLAND,823,1612480,Mokuoloe,39622,21.433056,-157.79,Hawaiian Islands,1,2.0 - LOW,0.009,2,2,RSL2005 (cm),0
MOKUOLOE_ISLAND,823,1612480,Mokuoloe,39622,21.433056,-157.79,Hawaiian Islands,1,2.0 - HIGH,0.009,2,2,RSL2005 (cm),0
MOKUOLOE_ISLAND,823,1612480,Mokuoloe,39622,21.433056,-157.79,Hawaiian Islands,1,0.3 - MED,0.009,2,2,RSL2020 (cm),6
MOKUOLOE_ISLAND,823,1612480,Mokuoloe,39622,21.433056,-157.79,Hawaiian Islands,1,0.3 - LOW,0.009,2,2,RSL2020 (cm),3
MOKUOLOE_ISLAND,823,1612480,Mokuoloe,39622,21.433056,-157.79,Hawaiian Islands,1,0.3 - HIGH,0.009,2,2,RSL2020 (cm),9
MOKUOLOE_ISLAND,823,1612480,Mokuoloe,39622,21.433056,-157.79,Hawaiian Islands,1,0.5 - MED,0.009,2,2,RSL2020 (cm),7
MOKUOLOE_ISLAND,823,1612480,Mokuoloe,39622,21.433056,-157.79,Hawaiian Islands,1,0.5 - LOW,0.009,2,2,RSL2020 (cm),5
MOKUOLOE_ISLAND,823,1612480,Mokuoloe,39622,21.433056,-157.79,Hawaiian Islands,1,0.5 - HIGH,0.009,2,2,RSL2020 (cm),9
MOKUOLOE_ISLAND,823,1612480,Mokuoloe,39622,21.433056,-157.79,Hawaiian Islands,1,1.0 - MED,0.009,2,2,RSL2020 (cm),8
MOKUOLOE_ISLAND,823,1612480,Mokuoloe,39622,21.433056,-157.79,Hawaiian Islands,1,1.0 - LOW,0.009,2,2,RSL2020 (cm),5
MOKUOLOE_ISLAND,823,1612480,Mokuoloe,39622,21.433056,-157.79,Hawaiian Islands,1,1.0 - HIGH,0.009,2,2,RSL2020 (cm),10
MOKUOLOE_ISLAND,823,1612480,Mokuoloe,39622,21.433056,-157.79,Hawaiian Islands,1,1.5 - MED,0.009,2,2,RSL2020 (cm),8
MOKUOLOE_ISLAND,823,1612480,Mokuoloe,39622,21.433056,-157.79,Hawaiian Islands,1,1.5 - LOW,0.009,2,2,RSL2020 (cm),5
MOKUOLOE_ISLAND,823,1612480,Mokuoloe,39622,21.433056,-157.79,Hawaiian Islands,1,1.5 - HIGH,0.009,2,2,RSL2020 (cm),11
MOKUOLOE_ISLAND,823,1612480,Mokuoloe,39622,21.433056,-157.79,Hawaiian Islands,1,2.0 - MED,0.009,2,2,RSL2020 (cm),8
MOKUOLOE_ISLAND,823,1612480,Mokuoloe,39622,21.433056,-157.79,Hawaiian Islands,1,2.0 - LOW,0.009,2,2,RSL2020 (cm),6
MOKUOLOE_ISLAND,823,1612480,Mokuoloe,39622,21.433056,-157.79,Hawaiian Islands,1,2.0 - HIGH,0.009,2,2,RSL2020 (cm),11
MOKUOLOE_ISLAND,823,1612480,Mokuoloe,39622,21.433056,-157.79,Hawaiian Islands,1,0.3 - MED,0.009,2,2,RSL2030 (cm),10
MOKUOLOE_ISLAND,823,1612480,Mokuoloe,39622,21.433056,-157.79,Hawaiian Islands,1,0.3 - LOW,0.009,2,2,RSL2030 (cm),8
MOKUOLOE_ISLAND,823,1612480,Mokuoloe,39622,21.433056,-157.79,Hawaiian Islands,1,0.3 - HIGH,0.009,2,2,RSL2030 (cm),13
MOKUOLOE_ISLAND,823,1612480,Mokuoloe,39622,21.433056,-157.79,Hawaiian Islands,1,0.5 - MED,0.009,2,2,RSL2030 (cm),12
MOKUOLOE_ISLAND,823,1612480,Mokuoloe,39622,21.433056,-157.79,Hawaiian Islands,1,0.5 - LOW,0.009,2,2,RSL2030 (cm),9
MOKUOLOE_ISLAND,823,1612480,Mokuoloe,39622,21.433056,-157.79,Hawaiian Islands,1,0.5 - HIGH,0.009,2,2,RSL2030 (cm),15
MOKUOLOE_ISLAND,823,1612480,Mokuoloe,39622,21.433056,-157.79,Hawaiian Islands,1,1.0 - MED,0.009,2,2,RSL2030 (cm),13
MOKUOLOE_ISLAND,823,1612480,Mokuoloe,39622,21.433056,-157.79,Hawaiian Islands,1,1.0 - LOW,0.009,2,2,RSL2030 (cm),10
MOKUOLOE_ISLAND,823,1612480,Mokuoloe,39622,21.433056,-157.79,Hawaiian Islands,1,1.0 - HIGH,0.009,2,2,RSL2030 (cm),17
MOKUOLOE_ISLAND,823,1612480,Mokuoloe,39622,21.433056,-157.79,Hawaiian Islands,1,1.5 - MED,0.009,2,2,RSL2030 (cm),15
MOKUOLOE_ISLAND,823,1612480,Mokuoloe,39622,21.433056,-157.79,Hawaiian Islands,1,1.5 - LOW,0.009,2,2,RSL2030 (cm),10
MOKUOLOE_ISLAND,823,1612480,Mokuoloe,39622,21.433056,-157.79,Hawaiian Islands,1,1.5 - HIGH,0.009,2,2,RSL2030 (cm),20
MOKUOLOE_ISLAND,823,1612480,Mokuoloe,39622,21.433056,-157.79,Hawaiian Islands,1,2.0 - MED,0.009,2,2,RSL2030 (cm),16
MOKUOLOE_ISLAND,823,1612480,Mokuoloe,39622,21.433056,-157.79,Hawaiian Islands,1,2.0 - LOW,0.009,2,2,RSL2030 (cm),10
MOKUOLOE_ISLAND,823,1612480,Mokuoloe,39622,21.433056,-157.79,Hawaiian Islands,1,2.0 - HIGH,0.009,2,2,RSL2030 (cm),22
MOKUOLOE_ISLAND,823,1612480,Mokuoloe,39622,21.433056,-157.79,Hawaiian Islands,1,0.3 - MED,0.009,2,2,RSL2040 (cm),14
MOKUOLOE_ISLAND,823,1612480,Mokuoloe,39622,21.433056,-157.79,Hawaiian Islands,1,0.3 - LOW,0.009,2,2,RSL2040 (cm),11
MOKUOLOE_ISLAND,823,1612480,Mokuoloe,39622,21.433056,-157.79,Hawaiian Islands,1,0.3 - HIGH,0.009,2,2,RSL2040 (cm),17
MOKUOLOE_ISLAND,823,1612480,Mokuoloe,39622,21.433056,-157.79,Hawaiian Islands,1,0.5 - MED,0.009,2,2,RSL2040 (cm),17
MOKUOLOE_ISLAND,823,1612480,Mokuoloe,39622,21.433056,-157.79,Hawaiian Islands,1,0.5 - LOW,0.009,2,2,RSL2040 (cm),13
MOKUOLOE_ISLAND,823,1612480,Mokuoloe,39622,21.433056,-157.79,Hawaiian Islands,1,0.5 - HIGH,0.009,2,2,RSL2040 (cm),21
